country_name,year,infant_mortality,life_expectancy,mortality_rate_under5,mortality_rate_1to4
Aruba,2022,9.27,77.87,10.6,1.35
Antigua and Barbuda,2022,10.44,77.66,12.26,1.84
United Arab Emirates,2022,5.09,79.28,5.53,0.44
Afghanistan,2022,99.91,53.65,144.45,49.49
Algeria,2022,16.41,77.89,18.63,2.26
Azerbaijan,2022,19.83,74.07,22.01,2.23
Albania,2022,10.2,79.26,11.86,1.68
Armenia,2022,10.83,75.99,12.21,1.39
Andorra,2022,3.45,83.15,4.1,0.65
Angola,2022,58.86,62.11,89.96,33.05
American Samoa,2022,9.44,75.24,11.73,2.31
Argentina,2022,8.55,78.16,9.91,1.37
Australia,2022,4.02,82.67,4.66,0.65
Austria,2022,3.3,82.02,3.86,0.56
Anguilla,2022,3.24,81.96,3.98,0.74
Bahrain,2022,7.99,79.65,9.23,1.25
Barbados,2022,9.15,76.37,13.05,3.94
Botswana,2022,25.18,65.64,32.25,7.25
Bermuda,2022,2.49,81.83,3.03,0.54
Belgium,2022,3.27,81.59,3.91,0.64
"Bahamas, The",2022,9.89,73.62,11.71,1.84
Bangladesh,2022,26.31,74.64,31.96,5.8
Belize,2022,10.55,75.8,12.07,1.54
Bosnia and Herzegovina,2022,5.02,77.83,5.67,0.65
Bolivia,2022,30.32,70.99,38.12,8.04
Burma,2022,29.55,69.95,36.37,7.03
Benin,2022,46.25,64.15,67.75,22.54
Belarus,2022,3.48,74.22,5.08,1.61
Solomon Islands,2022,12.62,76.6,15.15,2.57
Brazil,2022,14.94,75.19,17.61,2.71
Bhutan,2022,24.03,73.03,30.5,6.63
Bulgaria,2022,7.84,75.3,9.15,1.32
Brunei,2022,8.35,78.22,9.47,1.13
Burundi,2022,51.72,62.97,77.42,27.1
Canada,2022,4.25,82.34,4.87,0.62
Cambodia,2022,41.26,66.62,59.57,19.1
Chad,2022,65.49,59.15,108.31,45.82
Sri Lanka,2022,7.51,77.85,8.88,1.38
Congo (Brazzaville),2022,47.93,62.1,71.12,24.36
Congo (Kinshasa),2022,60.29,59.63,92.18,33.94
China,2022,10.84,76.4,12.99,2.17
Chile,2022,5.94,79.64,6.82,0.89
Cayman Islands,2022,5.33,81.81,6.04,0.71
Cameroon,2022,45.3,61.24,77.35,33.57
Comoros,2022,51.84,66.35,69.23,18.34
Colombia,2022,11.59,77.0,13.43,1.86
Northern Mariana Islands,2022,10.81,76.46,12.3,1.5
Costa Rica,2022,7.12,79.46,8.09,0.97
Central African Republic,2022,76.89,55.04,110.72,36.65
Cuba,2022,4.21,79.47,5.08,0.88
Cabo Verde,2022,18.44,73.7,22.02,3.64
Cook Islands,2022,11.19,77.02,13.06,1.89
Cyprus,2022,6.98,79.54,7.98,1.01
Denmark,2022,3.12,81.43,3.64,0.52
Djibouti,2022,39.01,65.4,51.79,13.3
Dominica,2022,9.16,78.06,10.46,1.31
Dominican Republic,2022,19.47,72.59,23.49,4.1
Ecuador,2022,14.1,77.86,16.48,2.42
Egypt,2022,15.91,74.22,18.52,2.65
Ireland,2022,3.5,81.42,4.03,0.53
Equatorial Guinea,2022,56.1,66.36,76.57,21.69
Estonia,2022,3.64,77.77,4.17,0.53
Eritrea,2022,40.66,66.93,58.21,18.29
El Salvador,2022,14.37,75.98,17.11,2.78
Ethiopia,2022,43.08,64.46,59.55,17.21
Czechia,2022,2.62,79.52,3.16,0.54
Finland,2022,2.54,81.49,2.82,0.28
Fiji,2022,8.41,74.21,11.76,3.37
"Micronesia, Federated States of",2022,16.69,74.38,19.85,3.21
Faroe Islands,2022,4.96,81.04,5.88,0.93
French Polynesia,2022,4.4,78.24,8.84,4.46
France,2022,3.15,82.34,3.94,0.79
"Gambia, The",2022,51.49,66.33,68.91,18.36
Gabon,2022,28.56,69.7,41.73,13.56
Georgia,2022,12.99,77.36,14.27,1.29
Ghana,2022,30.22,68.82,43.78,13.98
Gibraltar,2022,5.42,80.22,6.24,0.82
Grenada,2022,8.5,75.65,11.03,2.56
Guernsey,2022,3.28,82.94,3.72,0.44
Greenland,2022,8.01,73.91,9.77,1.78
Germany,2022,3.28,81.32,3.88,0.6
Guam,2022,10.15,77.36,11.33,1.19
Greece,2022,4.29,81.21,4.97,0.68
Guatemala,2022,20.51,72.85,25.56,5.15
Guinea,2022,49.63,63.9,73.93,25.57
Guyana,2022,25.83,69.97,33.27,7.64
Gaza Strip,2022,14.0,75.32,16.4,2.44
Haiti,2022,40.02,65.95,54.84,15.44
Hong Kong,2022,2.7,83.32,3.41,0.71
Honduras,2022,14.88,71.78,22.58,7.82
Croatia,2022,8.26,77.1,9.85,1.6
Hungary,2022,4.6,77.09,5.36,0.76
Iceland,2022,2.14,83.36,2.83,0.69
Indonesia,2022,19.08,74.23,23.35,4.35
Isle of Man,2022,3.82,81.77,4.37,0.55
India,2022,33.06,70.32,43.62,10.92
Iran,2022,14.21,74.78,16.34,2.16
Israel,2022,3.22,83.16,3.68,0.46
Italy,2022,3.16,82.65,3.67,0.51
Cote d'Ivoire,2022,55.67,62.26,76.18,21.72
Iraq,2022,34.63,75.3,39.68,5.24
Japan,2022,1.82,86.5,2.39,0.57
Jersey,2022,3.59,82.34,4.08,0.49
Jamaica,2022,10.91,75.77,12.58,1.69
Jordan,2022,12.01,75.91,13.78,1.79
Kenya,2022,31.93,65.65,42.09,10.5
Kyrgyzstan,2022,21.8,72.33,24.51,2.77
"Korea, North",2022,18.71,72.1,22.75,4.12
Kiribati,2022,27.31,68.18,34.34,7.22
"Korea, South",2022,2.96,82.65,3.54,0.58
Kuwait,2022,6.28,78.93,7.41,1.14
Kosovo,2022,28.01,73.23,33.12,5.26
Kazakhstan,2022,16.8,72.51,18.86,2.09
Laos,2022,42.82,66.37,56.46,14.25
Lebanon,2022,6.52,78.6,7.19,0.67
Latvia,2022,4.87,75.79,5.97,1.1
Lithuania,2022,3.72,75.84,4.39,0.68
Liberia,2022,44.57,65.45,59.16,15.27
Slovakia,2022,4.77,78.13,5.63,0.86
Liechtenstein,2022,4.1,82.31,4.93,0.83
Lesotho,2022,38.15,53.05,54.58,17.08
Luxembourg,2022,3.3,82.69,3.74,0.44
Libya,2022,9.31,77.6,10.48,1.18
Madagascar,2022,35.65,67.95,49.39,14.25
Macau,2022,3.02,84.66,3.38,0.36
Moldova,2022,10.52,72.39,12.04,1.54
Mongolia,2022,18.12,71.36,21.53,3.47
Montserrat,2022,10.41,75.7,11.83,1.44
Malawi,2022,37.02,64.41,59.69,23.54
Montenegro,2022,3.34,77.62,3.73,0.39
Macedonia,2022,7.02,76.72,7.95,0.94
Mali,2022,60.64,62.41,94.96,36.53
Monaco,2022,1.87,89.17,2.09,0.22
Morocco,2022,18.11,78.0,20.93,2.87
Mauritius,2022,8.61,76.84,9.74,1.14
Mauritania,2022,45.33,65.23,66.14,21.79
Malta,2022,4.44,82.92,5.49,1.05
Oman,2022,11.15,76.76,14.03,2.92
Maldives,2022,18.41,76.83,22.74,4.41
Mexico,2022,10.11,77.07,11.75,1.66
Malaysia,2022,10.82,76.27,12.99,2.19
Mozambique,2022,56.94,55.59,77.78,22.1
New Caledonia,2022,4.87,78.67,7.24,2.38
Niger,2022,72.79,57.93,113.85,44.28
Vanuatu,2022,11.78,75.2,13.59,1.84
Nigeria,2022,56.68,61.33,86.02,31.11
Netherlands,2022,3.43,81.89,4.0,0.57
Sint Maarten,2022,7.17,79.09,8.03,0.86
Norway,2022,2.5,82.28,3.0,0.5
Nepal,2022,23.41,72.38,28.71,5.43
Nauru,2022,7.15,69.07,8.96,1.83
Suriname,2022,20.7,73.8,25.74,5.14
Nicaragua,2022,15.47,74.7,18.22,2.79
New Zealand,2022,4.15,81.73,4.85,0.7
South Sudan,2022,63.18,59.16,98.26,37.44
Paraguay,2022,15.82,78.24,19.28,3.51
Peru,2022,15.68,75.15,19.77,4.16
Pakistan,2022,44.04,69.66,56.87,13.42
Poland,2022,4.17,78.58,4.83,0.66
Panama,2022,8.68,79.52,10.84,2.18
Portugal,2022,2.61,81.29,3.17,0.56
Papua New Guinea,2022,31.22,68.0,41.42,10.53
Palau,2022,9.31,74.6,10.93,1.63
Guinea-Bissau,2022,49.05,63.68,72.65,24.82
Qatar,2022,5.54,79.61,6.96,1.42
Serbia,2022,5.37,76.71,6.12,0.76
Marshall Islands,2022,16.31,74.58,19.35,3.09
Saint Martin,2022,5.44,80.4,6.4,0.97
Romania,2022,8.3,76.42,9.66,1.37
Philippines,2022,19.2,70.42,24.12,5.02
Puerto Rico,2022,5.8,81.45,6.28,0.48
Russia,2022,6.27,72.4,7.73,1.47
Rwanda,2022,26.39,65.85,34.82,8.65
Saudi Arabia,2022,10.65,76.54,12.11,1.48
Saint Pierre and Miquelon,2022,5.86,81.17,6.66,0.8
Saint Kitts and Nevis,2022,7.49,76.95,11.45,3.99
Seychelles,2022,8.81,76.03,11.61,2.83
South Africa,2022,25.87,65.32,31.61,5.9
Senegal,2022,43.48,63.96,72.6,30.44
"Saint Helena, Ascension, and Tristan da Cunha",2022,11.23,80.29,12.76,1.55
Slovenia,2022,1.71,81.59,2.17,0.46
Sierra Leone,2022,60.48,60.57,90.38,31.82
San Marino,2022,4.07,83.58,4.48,0.41
Singapore,2022,2.16,86.45,2.69,0.53
Somalia,2022,85.95,54.77,136.94,55.79
Spain,2022,3.18,82.17,3.74,0.56
Saint Lucia,2022,9.61,78.77,10.55,0.94
Sudan,2022,39.42,67.18,56.55,17.83
Sweden,2022,2.6,82.52,3.05,0.45
Syria,2022,12.87,76.01,15.13,2.29
Switzerland,2022,3.45,82.96,4.02,0.57
Saint Barthelemy,2022,5.44,80.4,6.4,0.97
Trinidad and Tobago,2022,18.83,74.36,21.73,2.96
Thailand,2022,8.22,75.98,9.46,1.25
Tajikistan,2022,26.97,69.64,36.04,9.32
Turks and Caicos Islands,2022,8.8,80.57,10.59,1.8
Tonga,2022,9.68,77.41,11.09,1.43
Togo,2022,36.15,67.27,54.84,19.39
Sao Tome and Principe,2022,39.37,67.03,56.46,17.79
Tunisia,2022,10.31,76.7,11.7,1.4
Timor-Leste,2022,29.59,69.94,36.81,7.44
Turkey,2022,14.71,76.12,16.71,2.03
Tuvalu,2022,25.01,68.51,38.06,13.39
Taiwan,2022,4.09,80.83,4.87,0.78
Turkmenistan,2022,28.72,71.82,34.22,5.66
Tanzania,2022,34.28,64.64,49.44,15.7
Curacao,2022,6.69,79.25,7.49,0.8
Uganda,2022,49.04,58.05,76.54,28.91
United Kingdom,2022,4.04,81.3,4.69,0.65
Ukraine,2022,7.12,73.41,8.45,1.34
United States,2022,5.52,80.69,6.38,0.9
Burkina Faso,2022,49.42,63.44,81.39,33.63
Uruguay,2022,7.41,78.25,8.99,1.59
Uzbekistan,2022,15.34,75.2,18.27,2.98
Saint Vincent and the Grenadines,2022,10.44,76.58,13.69,3.29
Venezuela,2022,10.72,76.96,12.39,1.69
"Virgin Islands, British",2022,10.32,79.52,11.23,0.92
Vietnam,2022,14.69,74.9,19.26,4.64
"Virgin Islands, U.S.",2022,7.06,80.07,7.79,0.73
Namibia,2022,29.42,66.47,43.12,14.12
West Bank,2022,12.01,76.28,13.98,1.99
Wallis and Futuna,2022,4.08,80.47,4.55,0.47
Western Sahara,2022,45.36,65.21,66.18,21.81
Samoa,2022,15.87,75.13,19.17,3.35
Eswatini,2022,39.63,59.69,50.7,11.52
Yemen,2022,39.33,67.6,50.84,11.98
Zambia,2022,53.23,54.35,89.43,38.24
Zimbabwe,2022,28.53,63.32,44.13,16.06
