report_date,load_type,load_time,load_weight,dropoff_site
2021-07-08,TIRES,2021-07-08 12:00:00 UTC,2260,MRF
2021-07-08,TIRES,2021-07-08 11:00:00 UTC,1260,MRF
2021-07-08,TIRES,2021-07-08 03:00:00 UTC,800,MRF
2021-05-01,TIRES,2021-05-01 12:29:00 UTC,760,MRF
2021-07-03,TIRES,2021-07-03 12:09:00 UTC,1400,MRF
2021-02-27,TIRES,2021-02-27 12:43:00 UTC,320,MRF
2021-02-27,TIRES,2021-02-27 11:53:00 UTC,740,MRF
2021-02-27,TIRES,2021-02-27 06:59:00 UTC,1720,MRF
2021-05-08,TIRES,2021-05-08 09:05:00 UTC,4360,MRF
2021-05-08,TIRES,2021-05-08 02:31:00 UTC,1740,MRF
2021-04-18,TIRES,2021-04-18 07:21:00 UTC,2420,MRF
2021-04-17,TIRES,2021-04-17 09:37:00 UTC,1060,MRF
2021-03-20,TIRES,2021-03-20 12:12:00 UTC,3020,MRF
2021-07-08,TIRES,2021-07-09 12:00:00 UTC,560,MRF
2021-03-20,TIRES,2021-03-20 08:35:00 UTC,520,MRF
2021-05-01,RECYCLING - SINGLE STREAM,2021-05-01 10:30:00 UTC,700,TDS - MRF
2021-06-12,RECYCLING - SINGLE STREAM,2021-06-12 10:58:00 UTC,720,TDS - MRF
2021-03-06,RECYCLING - SINGLE STREAM,2021-03-06 09:42:00 UTC,300,TDS - MRF
2021-07-08,SWEEPING,2021-07-08 10:20:00 UTC,,ONION CREEK
2021-07-08,SWEEPING,2021-07-08 01:15:00 UTC,,ONION CREEK
2021-07-08,SWEEPING,2021-07-08 12:40:00 UTC,,ONION CREEK
2021-07-08,SWEEPING,2021-07-08 01:05:00 UTC,,ONION CREEK
2021-07-08,SWEEPING,2021-07-08 12:30:00 UTC,,ONION CREEK
2021-03-13,SWEEPING,2021-03-13 09:30:00 UTC,,ONION CREEK
2021-02-27,SWEEPING,2021-02-27 12:00:00 UTC,,ONION CREEK
2021-03-13,SWEEPING,2021-03-13 12:00:00 UTC,,ONION CREEK
2021-06-12,SWEEPING,2021-06-12 12:00:00 UTC,,ONION CREEK
2021-07-08,SWEEPING,2021-07-08 12:00:00 UTC,,ONION CREEK
2021-01-16,SWEEPING,2021-01-16 12:00:00 UTC,,ONION CREEK
2021-05-08,SWEEPING,2021-05-08 12:00:00 UTC,,ONION CREEK
2021-06-12,SWEEPING,2021-06-12 12:00:00 UTC,,ONION CREEK
2021-07-03,SWEEPING,2021-07-03 12:00:00 UTC,,ONION CREEK
2021-04-03,SWEEPING,2021-04-03 12:00:00 UTC,,ONION CREEK
2021-02-06,SWEEPING,2021-02-06 12:00:00 UTC,,ONION CREEK
2021-05-22,SWEEPING,2021-05-22 12:00:00 UTC,,ONION CREEK
2021-07-09,SWEEPING,2021-07-09 12:00:00 UTC,,ONION CREEK
